CCD53_HUMAN	MCRS1_HUMAN
CCD53_HUMAN	NUP62_HUMAN
CCD53_HUMAN	OPTN_HUMAN
CCNK_HUMAN	T22D4_HUMAN
CDK16_HUMAN	CDK5_HUMAN
CDK16_HUMAN	KAPCA_HUMAN
CDK1_HUMAN	CSK21_HUMAN
CDK1_HUMAN	DDX3X_HUMAN
CDK1_HUMAN	DNLI1_HUMAN
CDK1_HUMAN	DNM1L_HUMAN
CDK1_HUMAN	GAPD1_HUMAN
CDK1_HUMAN	KI67_HUMAN
CDK1_HUMAN	LMNA_HUMAN
CDK1_HUMAN	MP2K1_HUMAN
CDK1_HUMAN	NSF1C_HUMAN
CDK1_HUMAN	NUCKS_HUMAN
CDK1_HUMAN	NUP98_HUMAN
CDK1_HUMAN	PTN2_HUMAN
CDK1_HUMAN	PUR6_HUMAN
CDK1_HUMAN	STMN1_HUMAN
CDK1_HUMAN	TCOF_HUMAN
CDK1_HUMAN	TOP2B_HUMAN
CDK5_HUMAN	DNMT1_HUMAN
CDK5_HUMAN	IRS4_HUMAN
CDKL5_HUMAN	MECP2_HUMAN
CEBPZ_HUMAN	DDX55_HUMAN
CEBPZ_HUMAN	PEBB_HUMAN
CEBPZ_HUMAN	SUMO2_HUMAN
CFDP1_HUMAN	CSK21_HUMAN
CH10_HUMAN	SAT1_HUMAN
CHAP1_HUMAN	SUMO2_HUMAN
CHD4_HUMAN	HDAC2_HUMAN
CHD4_HUMAN	SMCA4_HUMAN
CHD4_HUMAN	SUMO2_HUMAN
CLSPN_HUMAN	SUMO2_HUMAN
CP3A4_HUMAN	KAPCA_HUMAN
CP3A4_HUMAN	PGRC1_HUMAN
CRKL_HUMAN	M4K5_HUMAN
CRKL_HUMAN	STA5A_HUMAN
CRKL_HUMAN	TENC1_HUMAN
CSK21_HUMAN	CXCL7_HUMAN
CSK21_HUMAN	DDX21_HUMAN
CSK21_HUMAN	DDX54_HUMAN
CSK21_HUMAN	DDX58_HUMAN
CSK21_HUMAN	DNLI1_HUMAN
CSK21_HUMAN	FNBP4_HUMAN
CSK21_HUMAN	HDAC2_HUMAN
CSK21_HUMAN	HIRP3_HUMAN
CSK21_HUMAN	HTSF1_HUMAN
CSK21_HUMAN	ICLN_HUMAN
CSK21_HUMAN	IF2P_HUMAN
CSK21_HUMAN	IF4B_HUMAN
CSK21_HUMAN	IWS1_HUMAN
CSK21_HUMAN	LA_HUMAN
CSK21_HUMAN	LYRIC_HUMAN
CSK21_HUMAN	MCRS1_HUMAN
CSK21_HUMAN	MK01_HUMAN
CSK21_HUMAN	MK09_HUMAN
CSK21_HUMAN	MPRI_HUMAN
CSK21_HUMAN	MYH10_HUMAN
CSK21_HUMAN	OSBP1_HUMAN
CSK21_HUMAN	PAIRB_HUMAN
CSK21_HUMAN	PDIA6_HUMAN
CSK21_HUMAN	PIAS1_HUMAN
CSK21_HUMAN	PSIP1_HUMAN
CSK21_HUMAN	RBM33_HUMAN
CSK21_HUMAN	RL1D1_HUMAN
CSK21_HUMAN	RPRD2_HUMAN
CSK21_HUMAN	RU17_HUMAN
CSK21_HUMAN	SAT1_HUMAN
CSK21_HUMAN	SMC3_HUMAN
CSK21_HUMAN	TCP4_HUMAN
CSK21_HUMAN	TELO2_HUMAN
CSK21_HUMAN	UBP24_HUMAN
CSK21_HUMAN	VAMP4_HUMAN
CSK21_HUMAN	WDR48_HUMAN
CSK21_HUMAN	XRCC1_HUMAN
CTND1_HUMAN	EGFR_HUMAN
CTND1_HUMAN	SUMO2_HUMAN
CXCL7_HUMAN	SCFD1_HUMAN
CXCL7_HUMAN	STRN4_HUMAN
CYTSA_HUMAN	GLIS2_HUMAN
DDX21_HUMAN	SUMO2_HUMAN
DDX3X_HUMAN	IF4G1_HUMAN
DDX46_HUMAN	LMNA_HUMAN
DDX46_HUMAN	SUMO2_HUMAN
DDX54_HUMAN	DDX55_HUMAN
DDX54_HUMAN	WDHD1_HUMAN
DDX55_HUMAN	SPB1_HUMAN
DDX58_HUMAN	RNF31_HUMAN
DDX58_HUMAN	TRI25_HUMAN
DENR_HUMAN	PP1B_HUMAN
DESP_HUMAN	KAPCA_HUMAN
DESP_HUMAN	PKP4_HUMAN
DNM1L_HUMAN	KAPCA_HUMAN
DNMT1_HUMAN	HDAC2_HUMAN
DOCK4_HUMAN	GRB2_HUMAN
DPP3_HUMAN	NHLC2_HUMAN
DPP3_HUMAN	SUMO2_HUMAN
DREB_HUMAN	MARCS_HUMAN
DREB_HUMAN	NIPBL_HUMAN
DREB_HUMAN	ZC3H4_HUMAN
DYR1B_HUMAN	HIPK2_HUMAN
DYR1B_HUMAN	MK01_HUMAN
E9PAU2_HUMAN	SUMO2_HUMAN
EFNA5_HUMAN	EPHA2_HUMAN
EFNA5_HUMAN	EPHA3_HUMAN
EFNA5_HUMAN	EPHA7_HUMAN
EFNB2_HUMAN	EPHA3_HUMAN
EGFR_HUMAN	EGF_HUMAN
EGFR_HUMAN	EPN1_HUMAN
EGFR_HUMAN	FAK1_HUMAN
EGFR_HUMAN	GRB2_HUMAN
EGFR_HUMAN	HGS_HUMAN
EGFR_HUMAN	KAPCA_HUMAN
EGFR_HUMAN	PAK1_HUMAN
EGFR_HUMAN	RN213_HUMAN
EGFR_HUMAN	TM1L1_HUMAN
ELF2_HUMAN	RUNX1_HUMAN
ELF2_HUMAN	SUMO2_HUMAN
EMAL4_HUMAN	NEK6_HUMAN
EPN1_HUMAN	EPS15_HUMAN
ERF_HUMAN	MK01_HUMAN
F208A_HUMAN	TM1L1_HUMAN
FACD2_HUMAN	MRE11_HUMAN
FACD2_HUMAN	SUMO2_HUMAN
FACD2_HUMAN	WDR48_HUMAN
FNBP4_HUMAN	SUMO2_HUMAN
FUND2_HUMAN	SAT1_HUMAN
GAB1_HUMAN	PTN11_HUMAN
